Postcode,Stroke Team,long,lat,LSOA11CD,LSOA11NM,LSOA11NMW,LSOA11NMW,LSOA11BNG_E,LSOA11BNG_N,LSOA11LONG,LSOA11LAT,MSOA11CD,MSOA11NM,CCG19CD,CCG19NM,ICB22CD,ICB22NM,LAD17CD,LAD17NM,STP19CD,STP19NM,LHB20CD,LHB20NM,LHB20NMW,SCN17CD,SCN17NM,RGN11CD,RGN11NM,CTRY11NM
CF479DT,Prince Charles Hospital,-3.3855045,51.763954,W01001299,Merthyr Tydfil 008A,Merthyr Tudful 008A,Merthyr Tudful 008A,304777.0,208262.0,-3.38125,51.76491,W02000415,Merthyr Tydfil 008,,,,,W06000024,Merthyr Tydfil,,,W11000030,Cwm Taf Morgannwg University Health Board,Bwrdd Iechyd Prifysgol Cwm Taf Morgannwg,,,W92000004,Wales,Wales
CH21UL,Countess of Chester Hospital,-2.8990244,53.211767,E01018377,Cheshire West and Chester 028F,Cheshire West and Chester 028F,Cheshire West and Chester 028F,340312.0,369127.0,-2.8953,53.21584,E02003797,Cheshire West and Chester 028,E38000196,NHS West Cheshire CCG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E06000050,Cheshire West and Chester,E54000008,Cheshire and Merseyside,,,,E55000002,Cheshire and Merseyside,E12000002,North West,England
CH495PE,Wirral Arrowe Park Hospital,-3.0954486,53.370841,E01007251,Wirral 025B,Wirral 025B,Wirral 025B,327482.0,386577.0,-3.09139,53.37107,E02001491,Wirral 025,E38000208,NHS Wirral CCG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E08000015,Wirral,E54000008,Cheshire and Merseyside,,,,E55000002,Cheshire and Merseyside,E12000002,North West,England
CM17ET,Broomfield Hospital,0.46542433,51.774585,E01021542,Chelmsford 002A,Chelmsford 002A,Chelmsford 002A,569843.0,210761.0,0.460144,51.76976,E02004486,Chelmsford 002,E38000106,NHS Mid Essex CCG,E54000026,NHS Mid and South Essex Integrated Care Board,E07000070,Chelmsford,E54000026,Mid and South Essex,,,,E55000006,East of England,E12000006,East of England,England
CM201QX,Princess Alexandra Hospital,0.086303423,51.771343,E01021843,Harlow 004E,Harlow 004E,Harlow 004E,544333.0,210546.0,0.09063,51.77498,E02004547,Harlow 004,E38000197,NHS West Essex CCG,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E07000073,Harlow,E54000025,Hertfordshire and West Essex,,,,E55000006,East of England,E12000006,East of England,England
CO45JL,Colchester General Hospital,0.89936594,51.909629,E01021682,Colchester 004D,Colchester 004D,Colchester 004D,599811.0,228409.0,0.904104,51.91835,E02004509,Colchester 004,E38000117,NHS North East Essex CCG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E07000071,Colchester,E54000023,Suffolk and North East Essex,,,,E55000006,East of England,E12000006,East of England,England
CT13NG,Invicta Ward Kent and Canterbury Hospital ,1.0870832,51.266589,E01024046,Canterbury 016C,Canterbury 016C,Canterbury 016C,615837.0,156202.0,1.092408,51.26409,E02005025,Canterbury 016,E38000029,NHS Canterbury and Coastal CCG,E54000032,NHS Kent and Medway Integrated Care Board,E07000106,Canterbury,E54000032,Kent and Medway,,,,E55000010,South East Coast,E12000008,South East,England
CT94AN,Queen Elizabeth the Queen Mother Hospital,1.3893845,51.378053,E01024694,Thanet 004D,Thanet 004D,Thanet 004D,636387.0,169472.0,1.395226,51.37506,E02005135,Thanet 004,E38000184,NHS Thanet CCG,E54000032,NHS Kent and Medway Integrated Care Board,E07000114,Thanet,E54000032,Kent and Medway,,,,E55000010,South East Coast,E12000008,South East,England
CV22DX,University Hospital Coventry,-1.4435031,52.421424,E01009580,Coventry 019A,Coventry 019A,Coventry 019A,438494.0,280492.0,-1.43538,52.42108,E02001976,Coventry 019,E38000038,NHS Coventry and Rugby CCG,E54000018,NHS Coventry and Warwickshire Integrated Care Board,E08000026,Coventry,E54000018,Coventry and Warwickshire,,,,E55000008,West Midlands,E12000005,West Midlands,England
CV345BW,Warwick Hospital,-1.5832152,52.28995,E01031323,Warwick 011C,Warwick 011C,Warwick 011C,428366.0,265525.0,-1.58556,52.28715,E02006529,Warwick 011,E38000164,NHS South Warwickshire CCG,E54000018,NHS Coventry and Warwickshire Integrated Care Board,E07000222,Warwick,E54000018,Coventry and Warwickshire,,,,E55000008,West Midlands,E12000005,West Midlands,England
CW14QJ,Leighton Hospital,-2.4758631,53.117685,E01018480,Cheshire East 049B,Cheshire East 049B,Cheshire East 049B,365492.0,358211.0,-2.51706,53.11996,E02003837,Cheshire East 049,E38000151,NHS South Cheshire CCG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E06000049,Cheshire East,E54000008,Cheshire and Merseyside,,,,E55000002,Cheshire and Merseyside,E12000002,North West,England
DA28DA,Darent Valley Hospital,0.25816101,51.435061,E01024133,Dartford 008A,Dartford 008A,Dartford 008A,557153.0,172396.0,0.259218,51.42878,E02005035,Dartford 008,E38000043,"NHS Dartford, Gravesham and Swanley CCG",E54000032,NHS Kent and Medway Integrated Care Board,E07000107,Dartford,E54000032,Kent and Medway,,,,E55000010,South East Coast,E12000008,South East,England
DE223NE,Royal Derby Hospital,-1.5133206,52.911556,E01013542,Derby 017C,Derby 017C,Derby 017C,432926.0,335342.0,-1.51179,52.91451,E02002812,Derby 017,E38000229,NHS Derby and Derbyshire CCG,E54000058,NHS Derby and Derbyshire Integrated Care Board,E06000015,Derby,E54000012,Joined Up Care Derbyshire,,,,E55000007,East Midlands,E12000004,East Midlands,England
DH15TW,University Hospital of North Durham,-1.5929282,54.788899,E01020702,County Durham 033B,County Durham 033B,County Durham 033B,426893.0,543426.0,-1.58336,54.78502,E02004315,County Durham 033,E38000116,NHS North Durham CCG,E54000050,NHS North East and North Cumbria Integrated Care Board,E06000047,County Durham,E54000049,Cumbria and North East,,,,E55000004,Northern England,E12000001,North East,England
DN157BH,Scunthorpe General Hospital,-0.66693886,53.58744,E01013333,North Lincolnshire 009C,North Lincolnshire 009C,North Lincolnshire 009C,488461.0,410958.0,-0.66512,53.58777,E02002757,North Lincolnshire 009,E38000122,NHS North Lincolnshire CCG,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E06000013,North Lincolnshire,E54000006,"Humber, Coast and Vale",,,,E55000005,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,England
DN25LT,Doncaster Royal Infirmary,-1.1092567,53.530742,E01007567,Doncaster 018D,Doncaster 018D,Doncaster 018D,459229.0,403882.0,-1.10798,53.52829,E02001556,Doncaster 018,E38000044,NHS Doncaster CCG,E54000061,NHS South Yorkshire Integrated Care Board,E08000017,Doncaster,E54000009,South Yorkshire and Bassetlaw,,,,E55000005,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,England
DT12JY,Dorset County Hospital,-2.4471253,50.713461,E01032643,West Dorset 009G,West Dorset 009G,West Dorset 009G,368543.0,90831.0,-2.44693,50.71624,E02004277,West Dorset 009,E38000045,NHS Dorset CCG,E54000041,NHS Dorset Integrated Care Board,E07000052,West Dorset,E54000041,Dorset,,,,E55000012,Wessex,E12000009,South West,England
DY12HQ,Russells Hall Hospital,-2.1177498,52.502306,E01009884,Dudley 013D,Dudley 013D,Dudley 013D,392282.0,289465.0,-2.11512,52.50304,E02002012,Dudley 013,E38000046,NHS Dudley CCG,E54000062,NHS Black Country Integrated Care Board,E08000027,Dudley,E54000016,The Black Country and West Birmingham,,,,E55000008,West Midlands,E12000005,West Midlands,England
BH77DW,University Hospitals Dorset Stroke Service,-1.8205054,50.747482,E01015319,Bournemouth 011D,Bournemouth 011D,Bournemouth 011D,412572.0,94011.0,-1.82317,50.74556,E02003182,Bournemouth 011,E38000045,NHS Dorset CCG,E54000041,NHS Dorset Integrated Care Board,E06000028,Bournemouth,E54000041,Dorset,,,,E55000012,Wessex,E12000009,South West,England
E11BB,Royal London Hospital HASU,-0.058075032,51.519026,E01004322,Tower Hamlets 017A,Tower Hamlets 017A,Tower Hamlets 017A,534863.0,181755.0,-0.05763,51.51862,E02000880,Tower Hamlets 017,E38000186,NHS Tower Hamlets CCG,E54000029,NHS North East London Integrated Care Board,E09000030,Tower Hamlets,E54000029,East London Health and Care Partnership,,,,E55000014,London,E12000007,London,England
EX25DW,Royal Devon and Exeter Hospital,-3.5066801,50.716712,E01020013,Exeter 013C,Exeter 013C,Exeter 013C,293887.0,91792.0,-3.50444,50.71602,E02004161,Exeter 013,E38000230,NHS Devon CCG,E54000037,NHS Devon Integrated Care Board,E07000041,Exeter,E54000037,Devon,,,,E55000009,South West,E12000009,South West,England
EX314JB,North Devon District Hospital,-4.0511326,51.092201,E01020134,North Devon 007C,North Devon 007C,North Devon 007C,256717.0,134252.0,-4.04732,51.08963,E02004181,North Devon 007,E38000230,NHS Devon CCG,E54000037,NHS Devon Integrated Care Board,E07000043,North Devon,E54000037,Devon,,,,E55000009,South West,E12000009,South West,England
FY38NR,Blackpool Victoria Hospital,-3.0162645,53.820669,E01012722,Blackpool 009F,Blackpool 009F,Blackpool 009F,333601.0,436767.0,-3.01014,53.82292,E02002641,Blackpool 009,E38000015,NHS Blackpool CCG,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E06000009,Blackpool,E54000048,Healthier Lancashire and South Cumbria,,,,E55000003,"Greater Manchester, Lancashire and South Cumbria",E12000002,North West,England
GL13NN,Gloucestershire Royal Hospital,-2.2338867,51.866088,E01022311,Gloucester 002C,Gloucester 002C,Gloucester 002C,383945.0,218836.0,-2.23457,51.86787,E02004637,Gloucester 002,E38000062,NHS Gloucestershire CCG,E54000043,NHS Gloucestershire Integrated Care Board,E07000081,Gloucester,E54000043,Gloucestershire,,,,E55000009,South West,E12000009,South West,England
GU167UJ,Frimley Park Hospital,-0.74155505,51.31967,E01030768,Surrey Heath 010C,Surrey Heath 010C,Surrey Heath 010C,488092.0,158378.0,-0.73731,51.3177,E02006425,Surrey Heath 010,E38000178,NHS Surrey Heath CCG,E54000034,NHS Frimley Integrated Care Board,E07000214,Surrey Heath,E54000034,Frimley Health,,,,E55000010,South East Coast,E12000008,South East,England
HA13UJ,Northwick Park Hospital HASU,-0.32248145,51.575098,E01000568,Brent 008D,Brent 008D,Brent 008D,516615.0,187769.0,-0.31851,51.57673,E02000100,Brent 008,E38000020,NHS Brent CCG,E54000027,NHS North West London Integrated Care Board,E09000005,Brent,E54000027,North West London Health and Care Partnership,,,,E55000014,London,E12000007,London,England
HP112TT,Wycombe General Hospital,-0.75341914,51.626235,E01017837,Wycombe 015B,Wycombe 015B,Wycombe 015B,486153.0,192993.0,-0.7567,51.62916,E02003710,Wycombe 015,E38000223,NHS Buckinghamshire CCG,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E07000007,Wycombe,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",,,,E55000011,Thames Valley,E12000008,South East,England
HR12ER,Hereford County Hospital,-2.7055327,52.056942,E01014011,Herefordshire 012D,Herefordshire 012D,Herefordshire 012D,351564.0,239930.0,-2.70781,52.05563,E02002916,Herefordshire 012,E38000078,NHS Herefordshire CCG,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E06000019,"Herefordshire, County of",E54000019,Herefordshire and Worcestershire,,,,E55000008,West Midlands,E12000005,West Midlands,England
HU32JZ,Hull Royal Infirmary,-0.35827125,53.744412,E01012855,Kingston upon Hull 029D,Kingston upon Hull 029D,Kingston upon Hull 029D,508599.0,428290.0,-0.35497,53.73971,E02002680,Kingston upon Hull 029,E38000085,NHS Hull CCG,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E06000010,"Kingston upon Hull, City of",E54000006,"Humber, Coast and Vale",,,,E55000005,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,England
HX30PW,Calderdale Royal Hospital,-1.8572797,53.705306,E01010972,Calderdale 021C,Calderdale 021C,Calderdale 021C,409279.0,423411.0,-1.86091,53.70706,E02002264,Calderdale 021,E38000025,NHS Calderdale CCG,E54000054,NHS West Yorkshire Integrated Care Board,E08000033,Calderdale,E54000005,West Yorkshire and Harrogate (Health and Care Partnership),,,,E55000005,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,England
IP332QZ,West Suffolk Hospital,0.70917557,52.231662,E01030142,St Edmundsbury 009B,St Edmundsbury 009B,St Edmundsbury 009B,585225.0,262644.0,0.710839,52.23085,E02006281,St Edmundsbury 009,E38000204,NHS West Suffolk CCG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E07000204,St Edmundsbury,E54000023,Suffolk and North East Essex,,,,E55000006,East of England,E12000006,East of England,England
IP45PD,Ipswich Hospital,1.1963461,52.060012,E01029964,Ipswich 009B,Ipswich 009B,Ipswich 009B,618849.0,245114.0,1.191147,52.06116,E02006253,Ipswich 009,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,E07000202,Ipswich,E54000023,Suffolk and North East Essex,,,,E55000006,East of England,E12000006,East of England,England
KT160PZ,St Peter's Hospital,-0.52683986,51.377091,E01030677,Runnymede 008A,Runnymede 008A,Runnymede 008A,500996.0,166243.0,-0.54998,51.38625,E02006400,Runnymede 008,E38000128,NHS North West Surrey CCG,E54000052,NHS Surrey Heartlands Integrated Care Board,E07000212,Runnymede,E54000035,Surrey Heartlands,,,,E55000010,South East Coast,E12000008,South East,England
KT187EG,Epsom Hospital,-0.27340744,51.325026,E01030419,Epsom and Ewell 008D,Epsom and Ewell 008D,Epsom and Ewell 008D,520545.0,160079.0,-0.27125,51.32704,E02006342,Epsom and Ewell 008,E38000177,NHS Surrey Downs CCG,E54000052,NHS Surrey Heartlands Integrated Care Board,E07000208,Epsom and Ewell,E54000035,Surrey Heartlands,,,,E55000010,South East Coast,E12000008,South East,England
L355DR,Whiston Hospital HASU,-2.7860133,53.420813,E01006499,Knowsley 009E,Knowsley 009E,Knowsley 009E,347966.0,391917.0,-2.78444,53.42148,E02001335,Knowsley 009,E38000091,NHS Knowsley CCG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E08000011,Knowsley,E54000008,Cheshire and Merseyside,,,,E55000002,Cheshire and Merseyside,E12000002,North West,England
L78XP,Royal Liverpool University Hospital,-2.9648088,53.409506,E01006747,Liverpool 031B,Liverpool 031B,Liverpool 031B,335857.0,390695.0,-2.96638,53.40916,E02001377,Liverpool 031,E38000101,NHS Liverpool CCG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E08000012,Liverpool,E54000008,Cheshire and Merseyside,,,,E55000002,Cheshire and Merseyside,E12000002,North West,England
L97AL,University Hospital Aintree,-2.9351308,53.467918,E01006654,Liverpool 005A,Liverpool 005A,Liverpool 005A,337789.0,396962.0,-2.93856,53.46572,E02001351,Liverpool 005,E38000101,NHS Liverpool CCG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E08000012,Liverpool,E54000008,Cheshire and Merseyside,,,,E55000002,Cheshire and Merseyside,E12000002,North West,England
LA144LF,Furness General Hospital,-3.2078839,54.136395,E01019155,Barrow-in-Furness 003D,Barrow-in-Furness 003D,Barrow-in-Furness 003D,321032.0,471896.0,-3.21015,54.13682,E02003979,Barrow-in-Furness 003,E38000228,NHS Morecambe Bay CCG,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E07000027,Barrow-in-Furness,E54000048,Healthier Lancashire and South Cumbria,,,,E55000003,"Greater Manchester, Lancashire and South Cumbria",E12000002,North West,England
LA14RP,Royal Lancaster Infirmary,-2.7990215,54.042889,E01033073,Lancaster 014F,Lancaster 014F,Lancaster 014F,347491.0,461091.0,-2.80335,54.04311,E02005234,Lancaster 014,E38000228,NHS Morecambe Bay CCG,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E07000121,Lancaster,E54000048,Healthier Lancashire and South Cumbria,,,,E55000003,"Greater Manchester, Lancashire and South Cumbria",E12000002,North West,England
LE15WW,Leicester Royal Infirmary,-1.1348028,52.627817,E01013647,Leicester 040B,Leicester 040B,Leicester 040B,458726.0,303656.0,-1.13382,52.62751,E02006850,Leicester 040,E38000097,NHS Leicester City CCG,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E06000016,Leicester,E54000015,"Leicester, Leicestershire and Rutland",,,,E55000007,East Midlands,E12000004,East Midlands,England
LL137TD,Maelor Hospital,-3.0101802,53.046173,W01000349,Wrexham 011A,Wrecsam 011A,Wrecsam 011A,331816.0,350271.0,-3.01849,53.04535,W02000088,Wrexham 011,,,,,W06000006,Wrexham,,,W11000023,Betsi Cadwaladr University Health Board,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,,,W92000004,Wales,Wales
LL185UJ,Glan Clwyd District General Hospital,-3.4963452,53.271755,W01000191,Denbighshire 009A,Sir Ddinbych 009A,Sir Ddinbych 009A,300655.0,376547.0,-3.49132,53.27658,W02000050,Denbighshire 009,,,,,W06000004,Denbighshire,,,W11000023,Betsi Cadwaladr University Health Board,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,,,W92000004,Wales,Wales
LL572PW,Ysbyty Gwynedd,-4.1598251,53.20902,W01000102,Gwynedd 002E,Gwynedd 002E,Gwynedd 002E,256044.0,369033.0,-4.15651,53.19884,W02000011,Gwynedd 002,,,,,W06000002,Gwynedd,,,W11000023,Betsi Cadwaladr University Health Board,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,,,W92000004,Wales,Wales
LN25QY,Lincoln County Hospital,-0.51814791,53.232388,E01026125,Lincoln 003A,Lincoln 003A,Lincoln 003A,498961.0,371946.0,-0.51878,53.23535,E02005444,Lincoln 003,E38000100,NHS Lincolnshire West CCG,E54000013,NHS Lincolnshire Integrated Care Board,E07000138,Lincoln,E54000013,Lincolnshire,,,,E55000007,East Midlands,E12000004,East Midlands,England
LS13EX,Leeds General Infirmary,-1.5517436,53.801445,E01033008,Leeds 111A,Leeds 111A,Leeds 111A,429481.0,433789.0,-1.55389,53.79959,E02006875,Leeds 111,E38000225,NHS Leeds CCG,E54000054,NHS West Yorkshire Integrated Care Board,E08000035,Leeds,E54000005,West Yorkshire and Harrogate (Health and Care Partnership),,,,E55000005,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,England
LU40DZ,Luton and Dunstable Hospital,-0.47426894,51.894177,E01015713,Luton 013A,Luton 013A,Luton 013A,505370.0,222820.0,-0.47012,51.89398,E02003270,Luton 013,E38000102,NHS Luton CCG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E06000032,Luton,E54000024,"Bedfordshire, Luton and Milton Keynes",,,,E55000006,East of England,E12000006,East of England,England
M68HD,Salford Royal Hospital,-2.3226835,53.487232,E01005719,Salford 021C,Salford 021C,Salford 021C,378479.0,398746.0,-2.32578,53.485,E02001177,Salford 021,E38000143,NHS Salford CCG,E54000057,NHS Greater Manchester Integrated Care Board,E08000006,Salford,E54000007,Greater Manchester Health and Social Care Partnership,,,,E55000003,"Greater Manchester, Lancashire and South Cumbria",E12000002,North West,England
ME169QQ,Maidstone District General Hospital,0.48397392,51.273662,E01033088,Maidstone 008F,Maidstone 008F,Maidstone 008F,573422.0,155655.0,0.484864,51.27365,E02005075,Maidstone 008,E38000199,NHS West Kent CCG,E54000032,NHS Kent and Medway Integrated Care Board,E07000110,Maidstone,E54000032,Kent and Medway,,,,E55000010,South East Coast,E12000008,South East,England
ME75NY,Medway Maritime Hospital,0.54221759,51.378267,E01016048,Medway 016D,Medway 016D,Medway 016D,577062.0,167372.0,0.542809,51.37778,E02003329,Medway 016,E38000104,NHS Medway CCG,E54000032,NHS Kent and Medway Integrated Care Board,E06000035,Medway,E54000032,Kent and Medway,,,,E55000010,South East Coast,E12000008,South East,England
MK65LD,Milton Keynes General Hospital,-0.73579539,52.026383,E01016845,Milton Keynes 018C,Milton Keynes 018C,Milton Keynes 018C,487033.0,237015.0,-0.73293,52.02474,E02003476,Milton Keynes 018,E38000107,NHS Milton Keynes CCG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E06000042,Milton Keynes,E54000024,"Bedfordshire, Luton and Milton Keynes",,,,E55000007,East Midlands,E12000008,South East,England
